time,open,high,low,close
2023-01-19T15:00:00+05:30,18093.2,18121.6,18084.15,18107.85
2023-01-20T09:00:00+05:30,18115.6,18118.55,18069.35,18086.75
2023-01-20T10:00:00+05:30,18086.9,18145.45,18086.9,18119.35
2023-01-20T11:00:00+05:30,18119,18122.9,18086.5,18086.6
2023-01-20T12:00:00+05:30,18086.35,18111.1,18079.2,18092.95
2023-01-20T13:00:00+05:30,18092.75,18105.95,18055.15,18056.15
2023-01-20T14:00:00+05:30,18056.8,18065.1,18018.2,18049.4
2023-01-20T15:00:00+05:30,18050.4,18054.25,18016.2,18027.65
2023-01-23T09:00:00+05:30,18118.45,18162,18063.45,18154.9
2023-01-23T10:00:00+05:30,18155,18162.6,18133.45,18148
2023-01-23T11:00:00+05:30,18147.9,18151.45,18123.25,18124.45
2023-01-23T12:00:00+05:30,18125.05,18131.65,18089.15,18094.55
2023-01-23T13:00:00+05:30,18094.1,18123.95,18078.6,18115.15
2023-01-23T14:00:00+05:30,18114.45,18136.35,18107.8,18108.9
2023-01-23T15:00:00+05:30,18109.8,18131.3,18097.5,18118.55
2023-01-24T09:00:00+05:30,18183.95,18201.25,18156.55,18166.1
2023-01-24T10:00:00+05:30,18166.3,18171.25,18123.6,18165.5
2023-01-24T11:00:00+05:30,18165.65,18173.1,18125.4,18129.05
2023-01-24T12:00:00+05:30,18129.45,18143.5,18114.2,18140.45
2023-01-24T13:00:00+05:30,18141.55,18143.55,18078.65,18094.4
2023-01-24T14:00:00+05:30,18094.9,18127.7,18090.75,18122.85
2023-01-24T15:00:00+05:30,18123.15,18134.4,18099.95,18118.3
2023-01-25T09:00:00+05:30,18093.35,18100.6,17990.1,17999.45
2023-01-25T10:00:00+05:30,18000.35,18002.75,17909.5,17911.8
2023-01-25T11:00:00+05:30,17912.2,17943,17846.15,17894.6
2023-01-25T12:00:00+05:30,17895,17932.4,17879.85,17926.35
2023-01-25T13:00:00+05:30,17925.8,17930.55,17893.5,17915.9
2023-01-25T14:00:00+05:30,17916.75,17946.85,17883.65,17899.4
2023-01-25T15:00:00+05:30,17899.15,17912.8,17871.25,17891.95
2023-01-27T09:00:00+05:30,17877.2,17884.75,17715.55,17741.85
2023-01-27T10:00:00+05:30,17741.75,17781.2,17667.8,17700.5
2023-01-27T11:00:00+05:30,17700.4,17701.3,17633.45,17669.05
2023-01-27T12:00:00+05:30,17668.1,17670.3,17589.85,17590.55
